Network_id,motif,nodes,observed_freq_sizeclass,expected_freq_sizeclass,percentil_sizeclass
1_1_bartomeus_spain_2008_batca_1_2,1,2,1,1,0
1_1_bartomeus_spain_2008_batca_1_2,2,3,0.20754716981132076,0.16981997054224432,0.944
1_1_bartomeus_spain_2008_batca_1_2,3,3,0.7924528301886793,0.8301800294577557,0.055
1_1_bartomeus_spain_2008_batca_1_2,4,4,0.4664246823956443,0.5054778696121359,0.269
1_1_bartomeus_spain_2008_batca_1_2,5,4,0.43738656987295826,0.4498508987013583,0.396
1_1_bartomeus_spain_2008_batca_1_2,6,4,0.0544464609800363,0.02546754686375945,0.998
1_1_bartomeus_spain_2008_batca_1_2,7,4,0.041742286751361164,0.019203684822746314,0.968
1_1_bartomeus_spain_2008_batca_1_2,8,5,0.20087815587266739,0.22599204172594758,0.396
1_1_bartomeus_spain_2008_batca_1_2,9,5,0.30900109769484085,0.32578313456316305,0.169
1_1_bartomeus_spain_2008_batca_1_2,10,5,0.20197585071350166,0.2575471209871318,0.109
1_1_bartomeus_spain_2008_batca_1_2,11,5,0.10757409440175632,0.06813633534885918,0.98
1_1_bartomeus_spain_2008_batca_1_2,12,5,0.00823271130625686,0.002702464282320655,0.967
1_1_bartomeus_spain_2008_batca_1_2,13,5,0.10867178924259056,0.059862332101563685,0.939
1_1_bartomeus_spain_2008_batca_1_2,14,5,0.027991218441273325,0.046005896720441704,0.056
1_1_bartomeus_spain_2008_batca_1_2,15,5,0.022502744237102086,0.01200245482952333,0.944
1_1_bartomeus_spain_2008_batca_1_2,16,5,0.007683863885839737,4.6249046986198745e-4,1
1_1_bartomeus_spain_2008_batca_1_2,17,5,0.005488474204171241,0.001505728971187052,0.956
