"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Abelmoschus manihot","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,-0.61660402719283,-0.0757451551810922,-0.312725353696245,-0.0585122099227223,-0.062475171165981,"shrub","Perennial",-0.00597173050482375,1
"Abutilon depauperatum","Hermaphrodite","self_compatible","high",2.5957542496546,"Campanulate","actinomorphic",-0.227787452164874,-0.155442336255722,-0.594306949465497,-0.0269351772614488,0.238276546540907,-0.278321725703387,-0.108979190532582,"shrub","Perennial",-0.0766253493371767,1
"Abutilon theophrasti","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.227787452164874,-0.155442336255722,-0.650049643783829,-0.148960122060557,-0.486725953771135,-0.278321725703387,-0.106498976166363,"herb","Short lived",-0.217932587001883,1
"Acacia dealbata","Hermaphrodite","partially_self_compatible","low",-0.697423750568835,"Brush","actinomorphic",7.19243515290194,0.195675059155028,-0.0368800062821798,-0.47842747301815,-0.298225303690004,-0.333274104648554,-0.119520101589011,"tree","Perennial",1.83102235913635,2
"Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",0.337726048914121,-0.155442336255722,-0.0368800062821798,-0.282308981737023,-0.509926033781121,-0.333274104648554,-0.120140155180566,"tree","Perennial",0.841871695483412,3
"Acacia rorudiana","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",0.337726048914121,-0.119119847075299,-0.0368800062821798,-0.466224978538239,-0.49542598377488,0.0513925479676102,-0.117659940814347,"shrub","Perennial",0.304904192357529,3
"Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",0.908951807579773,-0.0464748687144545,-0.393633249919503,-0.466224978538239,-0.457725853758653,-0.38822648359372,-0.126340691096113,"shrub","Perennial",-0.444024167265412,3
"Acer carpinifolium","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",2.05140332491108,0.0746000952202868,-0.0368800062821798,-0.314914046987345,-0.509926033781121,-0.498131241484052,-0.125100583913004,"tree","Perennial",1.26579340847753,4
"Acer caudatifolium","Hermaphrodite","dioecious","none",-0.712461093035608,"Open","actinomorphic",0.337726048914121,-0.131227343468773,-0.482821560828834,-0.515034956457883,-0.341725453708727,-0.608035999374385,-0.122620369546785,"tree","Perennial",1.15274761834576,3
"Acer negundo","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",1.48017756624542,-0.131227343468773,-0.482821560828834,-0.485748969706097,-0.33592543370623,0.0129258827059939,-0.125100583913004,"tree","Perennial",1.68971512147165,4
"Acer saccharinum","Monoecious","monoecious","none",-0.712461093035608,"Open","actinomorphic",0.908951807579773,-0.131227343468773,-0.482821560828834,-0.637059901256991,-0.457725853758653,-0.168416967813055,-0.125100583913004,"tree","Perennial",7.34200462805989,4
"Achillea millefolium","Dioecious","dioecious","none",-0.712461093035608,"Capitulum","actinomorphic",-0.210650679404904,-0.107012350681825,-0.148365394918843,-0.656583892424849,-0.492525973773631,-0.443178862538886,-0.118279994405902,"herb","Perennial",-0.345109100900118,3
"Achillea wilsoniana","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Capitulum","actinomorphic",-0.142103588365026,1.76964959030667,-0.794980649011491,-0.466224978538239,-0.39972565373369,-0.38822648359372,-0.118279994405902,"herb","Perennial",-0.38750127219953,3
"Achyranthes bidentata","Hermaphrodite","self_compatible","low",-0.122972832656571,"Tube","actinomorphic",-0.222075194578218,-0.107012350681825,-0.594306949465497,-0.685869879176635,-0.341725453708727,-0.553083620429219,-0.126960744687668,"herb","Perennial",-0.302716929600706,2
"Aciphylla glacialis","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.1192545580184,0.31675002308977,3.53065243009105,-0.649262395736902,-0.602726353821062,-0.608035999374385,-0.126340691096113,"herb","Perennial",-0.451089529148647,4
"Aciphylla scott-thomsonii","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.227787452164874,-0.0464748687144545,2.41579854372442,-0.649262395736902,-0.602726353821062,-0.662988378319551,-0.126340691096113,"herb","Perennial",-0.429893443498942,4
"Aciphylla simplicifolia","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.1192545580184,2.25394944604563,3.53065243009105,-0.673667384696724,-0.608526373823558,-0.608035999374385,-0.126340691096113,"herb","Perennial",-0.486416338564824,4
"Aciphylla subflabellata","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.176377133884965,1.04319980669822,2.41579854372442,-0.673667384696724,-0.608526373823558,-0.662988378319551,-0.126340691096113,"herb","Perennial",-0.500547062331295,4
"Aconitum piepunense","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","zygomorphic",-0.227787452164874,-0.0464748687144545,-0.415930327646836,-0.124555133100736,-0.196724953646318,-0.443178862538886,-0.0916176899690509,"herb","Perennial",-0.361988250439167,1
"Acrothamnus montanus","Hermaphrodite","self_compatible","low",-0.0856821030067808,"Tube","actinomorphic",-0.147815845951683,-0.119119847075299,-0.482821560828834,-0.637059901256991,-0.472225903764894,-0.657493140425034,-0.125100583913004,"shrub","Perennial",-0.472285614798353,2
"Actaea rubra","Hermaphrodite","self_compatible","medium",0.60330637280709,"Open","actinomorphic",-0.204938421818248,-0.0706898615014027,-0.482821560828834,-0.515034956457883,1.17323977094332,-0.553083620429219,-0.113939619265019,"herb","Perennial",-0.401631995966,1
"Actaea yunnanensis","Hermaphrodite","self_compatible","low",-0.135990785341243,"Open","actinomorphic",-0.226645000647543,-0.0222598759275062,-0.482821560828834,-0.368605022698953,-0.428702553666162,-0.553083620429219,-0.126960744687668,"herb","Perennial",-0.316847653367177,2
"Actinidia arguta","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.199226164231591,-0.131227343468773,0.0746053823544836,0.0218748006581946,-0.341725453708727,-0.00355983097755604,0.244451356653585,"vine","Perennial",0.559257220154,4
"Actinidia rufa","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.199226164231591,-0.131227343468773,-0.650049643783829,-0.148960122060557,-0.341725453708727,-0.38822648359372,0.244451356653585,"shrub","Perennial",1.40710064614224,4
"Adenophora capillaris","Hermaphrodite","self_incompatible","low",-0.411714243700135,"Campanulate","actinomorphic",-0.230072355199537,-0.094904854288351,-0.650049643783829,-0.148960122060557,0.180276346515943,1.48015440054193,-0.0333326523629111,"herb","Perennial",-0.359239824666589,2
"Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",-0.261340819032398,"Campanulate","actinomorphic",-0.232357258234199,-0.143334839862248,-0.482821560828834,0.217114712336768,0.437797234626781,1.48015440054193,-0.00791045510916925,"herb","Perennial",-0.444024167265412,2
"Adenophora khasiana","Hermaphrodite","self_incompatible","low",-0.261340819032398,"Campanulate","actinomorphic",-0.222075194578218,0.0746000952202868,-0.148365394918843,0.949264381131419,0.562497664680452,1.91977343210326,0.0931582803142434,"herb","Perennial",-0.316847653367177,2
"Adenostyles alpina","Hermaphrodite","self_compatible","low",-0.145705535130716,"Capitulum","actinomorphic",-0.210650679404904,0.0746000952202868,1.30094465735778,-0.168484113228415,-0.167724853633837,0.93063061109027,-0.122620369546785,"herb","Perennial",-0.302716929600706,2
"Aeginetia indica","Hermaphrodite","self_compatible","low",-0.219290770491873,"Tube","zygomorphic",-0.233385464599797,-0.165128333370501,-0.420389743192302,0.35378265051177,1.54328104710258,0.655868716364439,-0.0928577971521603,"herb","Perennial",-0.521743147981001,5
"Aeschynomene mollicula","Hermaphrodite","self_compatible","low",0.0486840706050755,"Papilionaceous","zygomorphic",-0.232928483992865,-0.155442336255722,-0.881939252148089,-0.656583892424849,-0.219925033656304,-0.168416967813055,-0.118279994405902,"shrub","Perennial",-0.288586205834236,5
"Aeschynomene pratensis","Hermaphrodite","self_compatible","low",0.164591906338967,"Papilionaceous","zygomorphic",-0.231786032475534,-0.160285334813111,-0.86187188219349,-0.61265491229717,-0.167724853633837,-0.168416967813055,-0.118279994405902,"herb","Perennial",-0.288586205834236,5
"Aesculus glabra","Monoecious","self_compatible","low",-0.336254979534056,"Tube","zygomorphic",0.908951807579773,-0.0464748687144545,0.855003102811128,-0.124555133100736,0.64427794671565,3.67824955834858,-0.123860476729894,"tree","Perennial",3.66801644877753,5
"Aesculus hippocastanum","Hermaphrodite","self_compatible","low",-0.397522751747117,"Open","zygomorphic",2.05140332491108,0.0746000952202868,1.74688621190444,0.583189546734094,0.128076166493476,1.09548774792577,-0.123860476729894,"tree","Perennial",4.79847435009518,5
"Agalinis auriculata","Hermaphrodite","self_compatible","high",2.85890774282314,"Campanulate","zygomorphic",-0.232357258234199,-0.143334839862248,-0.259850783555507,-0.168484113228415,0.12227614649098,0.49101157952894,0.00607175338038877,"herb","Short lived",-0.444024167265412,1
"Agalinis purpurea","Hermaphrodite","self_compatible","high",2.5957542496546,"Campanulate","zygomorphic",-0.222075194578218,0.0746000952202868,0.409061548264474,0.0462797896180163,0.418077166618293,0.93063061109027,0.0113112062290258,"herb","Short lived",-0.444024167265412,1
"Agalinis tenuifolia","Hermaphrodite","self_compatible","high",2.5957542496546,"Campanulate","zygomorphic",-0.222075194578218,0.0746000952202868,-0.482821560828834,-0.246580077899844,0.0932760464784983,0.49101157952894,-0.0736361358139652,"herb","Short lived",2.000591044334,1
"Agarista salicifolia","Hermaphrodite","self_compatible","low",-0.187667239284248,"Tube","actinomorphic",-0.00500940628526981,-0.094904854288351,-0.705792338102161,-0.539439945417705,-0.138724753621355,0.0513925479676102,-0.12324042313834,"tree","Perennial",2.38212058602871,2
"Agastache nepetoides","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","zygomorphic",-0.062131982151835,0.0746000952202868,-0.259850783555507,-0.607773914505205,-0.167724853633837,0.49101157952894,-0.125100583913004,"herb","Perennial",-0.104886796870118,1
"Agastache scrophulariaefolia","Hermaphrodite","self_compatible","low",-0.207343601902022,"Tube","zygomorphic",-0.176377133884965,0.0746000952202868,-0.259850783555507,-0.563844934377526,-0.16192483363134,0.49101157952894,-0.125100583913004,"herb","Perennial",-0.232063310768353,5
"Ageratum conyzoides","Hermaphrodite","self_compatible","medium",1.24239342764497,"Capitulum","actinomorphic",-0.227787452164874,-0.131227343468773,-0.783832110147825,-0.441819989578418,-0.457725853758653,-0.608035999374385,-0.102778654617035,"herb","Short lived",-0.415762719732471,1
"Agrimonia pilosa","Hermaphrodite","self_compatible","low",-0.0455681123088536,"Open","actinomorphic",-0.230072355199537,-0.094904854288351,-0.527415716283499,-0.393010011658774,-0.57372625380858,-0.38822648359372,-0.126340691096113,"herb","Perennial",-0.359239824666589,2
"Agrimonia striata","Hermaphrodite","self_compatible","low",-0.0635960062587069,"Open","actinomorphic",-0.226645000647543,-0.0222598759275062,-0.527415716283499,-0.407653005034667,-0.596926333818566,-0.38822648359372,-0.126960744687668,"herb","Perennial",-0.359239824666589,2
"Ajuga dictyocarpa","Hermaphrodite","self_compatible","low",-0.209452589182987,"Tube","zygomorphic",-0.231786032475534,-0.155442336255722,-0.37133617219217,-0.417415000618596,-0.277925233681267,-0.0585122099227223,-0.125100583913004,"herb","Perennial",-0.500547062331295,5
"Ajuga forrestii","Hermaphrodite","self_compatible","low",-0.052742804333313,"Tube","zygomorphic",-0.22436009761288,0.0261701096463903,-0.393633249919503,-0.319795044779309,-0.16192483363134,-0.0585122099227223,-0.125100583913004,"herb","Short lived",-0.520330075604353,5
"Ajuga reptans","Dioecious","self_compatible","none",-0.712461093035608,"Papilionaceous","zygomorphic",-0.226645000647543,-0.0222598759275062,-0.259850783555507,-0.197770099980201,0.267276646553388,0.381106821638608,-0.125100583913004,"herb","Perennial",-0.472285614798353,3
"Akebia quinata","Monoecious","monoecious","none",-0.712461093035608,"Open","actinomorphic",-0.227787452164874,-0.131227343468773,0.0746053823544836,-0.0269351772614488,-0.486725953771135,-0.38822648359372,-0.0779984298493094,"vine","Perennial",1.12448617081282,4
"Alangium platanifolium","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",0.337726048914121,-0.119119847075299,-0.594306949465497,-0.0269351772614488,-0.0227243535714284,0.600916337419273,-0.108284730510041,"shrub","Perennial",0.276642744824588,3
"Albizia julibrissin","Hermaphrodite","self_incompatible","low",-0.223747462865463,"Brush","actinomorphic",2.05140332491108,-0.107012350681825,0.0746053823544836,-0.661464890216813,-0.39972565373369,0.820725853199938,-0.121380262363676,"tree","Perennial",1.97232959680106,2
"Alisma gramineum","Hermaphrodite","self_compatible","low",-0.0314035622610901,"Open","actinomorphic",-0.230072355199537,-0.094904854288351,-0.794980649011491,-0.466224978538239,-0.486725953771135,-0.668483616214068,-0.115179726448129,"herb","Perennial",-0.493481700448059,2
"Allium ampeloprasum","Hermaphrodite","self_compatible","low",0.0394060303030761,"Open","actinomorphic",-0.204938421818248,0.437824987024511,0.186090770991147,-0.466224978538239,-0.341725453708727,3.18367814784209,-0.123860476729894,"herb","Perennial",-0.217932587001883,2
"Allium atrosanguineum","Hermaphrodite","self_compatible","low",-0.223747462865463,"Tube","actinomorphic",-0.227787452164874,-0.0464748687144545,-0.705792338102161,-0.470284545076798,-0.192301471724414,-0.140940778340472,-0.123860476729894,"herb","Perennial",-0.486416338564824,2
"Allium cyathophorum","Hermaphrodite","self_compatible","low",-0.223747462865463,"Tube","actinomorphic",-0.147815845951683,-0.107012350681825,-0.538564255147165,-0.588249923337348,-0.260122072283605,-0.333274104648554,-0.124418524962293,"herb","Perennial",-0.50761242421453,2
"Allium macranthum","Hermaphrodite","self_compatible","low",-0.223747462865463,"Open","actinomorphic",-0.229501129440871,-0.0827973578948769,2.19282776645109,0.217114712336768,0.81827854679054,0.820725853199938,-0.122620369546785,"herb","Perennial",-0.458154891031883,2
"Allium wallichii","Hermaphrodite","self_compatible","low",-0.223747462865463,"Open","actinomorphic",-0.229501129440871,-0.0827973578948769,0.855003102811128,0.119494756497481,-0.341725453708727,0.271202063748275,-0.123860476729894,"herb","Perennial",-0.422828081615706,2
"Alocasia odora","Hermaphrodite","self_compatible","low",-0.223747462865463,"Spike","actinomorphic",-0.192371455127604,0.704189907680942,2.41579854372442,-0.661464890216813,-0.57372625380858,-0.608035999374385,-0.123860476729894,"herb","Perennial",-0.217932587001883,2
"Aloysia gratissima","Hermaphrodite","self_compatible","medium",1.84388712631592,"Tube","actinomorphic",-0.00500940628526981,-0.0464748687144545,-0.705792338102161,-0.656583892424849,-0.504126013778624,-0.498131241484052,-0.126340691096113,"shrub","Perennial",-0.0766253493371767,1
"Alpinia","Hermaphrodite","self_compatible","low",-0.218031393060281,"Open","actinomorphic",-0.229501129440871,-0.0827973578948769,0.0746053823544836,0.319428561052662,0.268875518734079,1.48015440054193,-0.0531743672926608,"herb","Perennial",-0.220523219692403,2
"Alpinia formosana","Hermaphrodite","self_compatible","low",-0.223747462865463,"Tube","zygomorphic",-0.229501129440871,-0.0827973578948769,0.0746053823544836,0.026755798450159,0.528277546665723,1.48015440054193,-0.0996783866592618,"herb","Perennial",0.0646818883275292,5
"Alpinia intermedia","Hermaphrodite","self_compatible","low",-0.223747462865463,"Tube","zygomorphic",-0.225502549130211,0.00195511685944205,0.0746053823544836,-0.0269351772614488,0.238276546540907,1.48015440054193,-0.101538547433926,"herb","Perennial",-0.217932587001883,5
"Alstonia macrophylla","Hermaphrodite","self_compatible","low",-0.328296466033516,"Tube","actinomorphic",0.509093776513817,0.147245073581132,1.30094465735778,-0.148960122060557,-0.312725353696245,-0.168416967813055,-0.0841770468703948,"tree","Perennial",4.2615068469693,2
"Alternanthera echinocephala","Hermaphrodite","self_compatible","low",-0.656071058785207,"Campanulate","actinomorphic",0.337726048914121,-0.0706898615014027,-0.259850783555507,-0.270985066859666,-0.167724853633837,-0.695959805686651,-0.126960744687668,"shrub","Perennial",-0.217932587001883,2
"Alternanthera filifolia","Hermaphrodite","self_compatible","low",-0.400218195384286,"Tube","actinomorphic",0.337726048914121,-0.0706898615014027,-0.259850783555507,-0.402772007242703,-0.161344831631091,-0.695959805686651,-0.126960744687668,"shrub","Perennial",-0.288586205834236,2
"Ambrosia trifida","Monoecious","monoecious","none",-0.712461093035608,"Capitulum","actinomorphic",-0.1192545580184,2.25394944604563,-0.148365394918843,-0.637059901256991,-0.486725953771135,-0.498131241484052,-0.108284730510041,"herb","Short lived",0.036420440794588,4
"Amelanchier arborea","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",0.908951807579773,-0.155442336255722,1.30094465735778,0.461164601934985,0.238276546540907,-0.410207435171786,-0.121380262363676,"tree","Perennial",1.54840788380694,3
"Ammannia coccinea","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","actinomorphic",-0.193513906644935,-0.155442336255722,-0.594306949465497,-0.539439945417705,-0.39972565373369,-0.553083620429219,-0.112518611446574,"herb","Short lived",-0.500547062331295,1
"Amorpha canescens","Hermaphrodite","self_compatible","medium",1.26119010572844,"Tube","zygomorphic",0.109235745447861,0.231997548335451,-0.594306949465497,-0.649262395736902,-0.370725553721208,-0.443178862538886,-0.126340691096113,"shrub","Perennial",-0.429893443498942,1
"Amorpha fruticosa","Hermaphrodite","self_compatible","low",-0.213272074169547,"Tube","zygomorphic",0.337726048914121,0.0261701096463903,-0.594306949465497,-0.62485740677708,-0.370725553721208,-0.223369346758221,-0.126340691096113,"shrub","Perennial",-0.0766253493371767,5
"Ampelamus laevis","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.224931323371546,-0.0222598759275062,-0.259850783555507,-0.407653005034667,-0.283725253683763,-0.0585122099227223,-0.0892814158769984,"herb","Perennial",1.12448617081282,3
"Ampelopsis glandulosa","Hermaphrodite","self_compatible","low",-0.285161849167576,"Open","actinomorphic",0.908951807579773,0.0746000952202868,-0.705792338102161,-0.685869879176635,-0.501759605617606,-0.662988378319551,-0.125100583913004,"vine","Perennial",0.841871695483412,2
"Amphicarpaea bracteata","Hermaphrodite","self_compatible","high",2.5957542496546,"Papilionaceous","zygomorphic",-0.199226164231591,-0.119119847075299,-0.594306949465497,-0.466224978538239,0.238276546540907,-0.00355983097755604,-0.125100583913004,"herb","Short lived",-0.359239824666589,1
"Anaphalioides alpinum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Capitulum","actinomorphic",-0.233156974296331,-0.165128333370501,-0.438227405374168,0.314734668176055,-0.05172445358391,-0.311293153070487,-0.014110991024716,"shrub","Perennial",0.276642744824588,3
"Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",0.419850794712451,"Capitulum","actinomorphic",-0.227787452164874,-0.165128333370501,-0.538564255147165,0.0950897675376597,-0.283725253683763,-0.311293153070487,-0.0215516341233722,"herb","Perennial",-0.528808509864236,3
"Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Capitulum","actinomorphic",-0.232357258234199,-0.143334839862248,-0.614374319420097,-0.0708641573891279,-0.05172445358391,-0.662988378319551,-0.0655754391237544,"herb","Perennial",-0.50761242421453,3
"Anchusa azurea","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",-0.227787452164874,-0.131227343468773,0.186090770991147,-0.197770099980201,-0.167724853633837,-0.223369346758221,-0.125100583913004,"herb","Perennial",-0.330978377133647,3
"Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",0.791273153641761,"Campanulate","actinomorphic",-0.142103588365026,-0.138491841304858,-0.482821560828834,-0.539439945417705,-0.393925633731194,-0.448674100433403,-0.0984382794761524,"shrub","Perennial",-0.472285614798353,2
"Andryala integrifolia","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Capitulum","actinomorphic",-0.231214806716868,-0.136070342026163,-0.605455488329164,-0.0513401662212705,-0.39972565373369,0.381106821638608,-0.0810767789126214,"herb","Perennial",-0.441198022512118,3
"Anemone demissa","Hermaphrodite","self_compatible","low",-0.170405309966296,"Open","actinomorphic",-0.231786032475534,-0.155442336255722,2.41579854372442,1.77903400576536,-0.393925633731194,-0.509121717273086,-0.126960744687668,"herb","Perennial",-0.476524831928295,2
"Anemone hepatica","Hermaphrodite","partially_self_compatible","low",-0.223747462865463,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.37133617219217,0.461164601934985,-0.57372625380858,-0.498131241484052,-0.118279994405902,"herb","Perennial",-0.535873871747471,2
"Anemone rivularis","Hermaphrodite","self_compatible","medium",0.227372811137747,"Open","actinomorphic",-0.231214806716868,-0.165128333370501,-0.482821560828834,0.217114712336768,-0.341725453708727,-0.608035999374385,-0.0655754391237544,"herb","Perennial",-0.345109100900118,1
"Anemone rupestris","Hermaphrodite","self_compatible","low",-0.159522973189873,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.37133617219217,0.461164601934985,-0.219925033656304,-0.333274104648554,-0.126960744687668,"herb","Perennial",-0.429893443498942,2
"Anemonella thalictroides","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.516267177419833,0.143899745457303,-0.341725453708727,-0.662988378319551,-0.126960744687668,"herb","Perennial",-0.514677786097765,3
"Anethum graveolens","Hermaphrodite","self_compatible","low",-0.168302901522661,"Open","actinomorphic",-0.050707466978522,3.70684901326253,0.186090770991147,-0.710274868136456,-0.567926233806084,-0.662988378319551,-0.126340691096113,"herb","Short lived",-0.359239824666589,5
"Angelica archangelica","Hermaphrodite","partially_self_compatible","low",-0.277769115677348,"Open","actinomorphic",-0.00500940628526981,4.67544872474046,1.30094465735778,-0.539439945417705,-0.602726353821062,-0.553083620429219,-0.126340691096113,"herb","Perennial",-0.330978377133647,2
"Angelica polymorpha","Hermaphrodite","self_compatible","low",-0.1615636658738,"Open","actinomorphic",-0.1192545580184,2.25394944604563,0.186090770991147,-0.710274868136456,-0.57372625380858,-0.662988378319551,-0.126340691096113,"herb","Perennial",-0.373370548433059,2
"Angelica pubescens","Hermaphrodite","self_compatible","low",-0.200704615202941,"Open","actinomorphic",-0.050707466978522,3.70684901326253,0.186090770991147,-0.710274868136456,-0.57372625380858,-0.662988378319551,-0.123860476729894,"herb","Perennial",-0.14727896816953,2
"Angelica sylvestris","Hermaphrodite","self_compatible","low",-0.136019606914306,"Open","actinomorphic",-0.062131982151835,3.46469908539304,2.97322548690773,-0.539439945417705,-0.602726353821062,-0.553083620429219,-0.126340691096113,"herb","Perennial",-0.0766253493371767,2
"Anisotome aromatica","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.210650679404904,0.31675002308977,-0.594306949465497,-0.563844934377526,-0.57372625380858,-0.662988378319551,-0.126340691096113,"herb","Perennial",-0.500547062331295,4
"Anisotome flexuosa","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.176377133884965,-0.153020836977027,-0.594306949465497,-0.563844934377526,-0.57372625380858,-0.662988378319551,-0.126340691096113,"herb","Perennial",-0.500547062331295,4
"Antennaria alpina","Monoecious","dioecious","none",-0.712461093035608,"Capitulum","actinomorphic",-0.232928483992865,-0.155442336255722,-0.728089415829493,-0.710274868136456,-0.350425483712471,-0.168416967813055,-0.0903775827859416,"herb","Perennial",-0.542939233630706,3
"Antennaria plantaginifolia","Dioecious","dioecious","none",-0.712461093035608,"Capitulum","actinomorphic",-0.231786032475534,-0.131227343468773,-0.234878056500894,-0.466224978538239,-0.393925633731194,-0.168416967813055,-0.0903775827859416,"herb","Perennial",-0.525982365110942,3
"Anthemis cotula","Hermaphrodite","partially_self_compatible","low",-0.223747462865463,"Capitulum","actinomorphic",-0.232357258234199,-0.165128333370501,-0.460524483101501,-0.61265491229717,-0.0807245535963917,-0.38822648359372,-0.0562746352504342,"herb","Short lived",-0.472285614798353,5
"Anthriscus sylvestris","Monoecious","self_compatible","medium",1.18600339339457,"Open","zygomorphic",-0.142103588365026,1.76964959030667,-0.627752566056496,-0.539439945417705,-0.371072588251358,-0.608035999374385,-0.126340691096113,"herb","Perennial",-0.316847653367177,1
"Antidesma japonicum","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",-0.1192545580184,-0.094904854288351,-0.705792338102161,-0.698072373656546,-0.559226203802339,-0.662988378319551,-0.126898739328512,"shrub","Perennial",0.841871695483412,4
"Antidesma madagascariense","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",0.337726048914121,-0.0464748687144545,-0.705792338102161,-0.661464890216813,-0.515726053783617,-0.662988378319551,-0.126340691096113,"tree","Perennial",2.000591044334,4
"Antirhea borbonica","Hermaphrodite","self_compatible","low",-0.191744238760552,"Tube","actinomorphic",-0.00500940628526981,-0.107012350681825,-0.705792338102161,-0.722477362616367,-0.33592543370623,-0.443178862538886,-0.126340691096113,"shrub","Perennial",0.559257220154,2
"Aphloia theiformis","Hermaphrodite","self_compatible","low",-0.225082653565327,"Brush","actinomorphic",-0.00500940628526981,-0.153020836977027,0.855003102811128,0.217114712336768,-0.103924633606377,-0.706950281475684,-0.123860476729894,"tree","Perennial",0.841871695483412,2
"Apios americana","Hermaphrodite","partially_self_compatible","none",-0.712461093035608,"Open","zygomorphic",-0.176377133884965,-0.0827973578948769,0.186090770991147,-0.0708641573891279,0.035275846453535,-0.597045523585352,-0.120450181976343,"herb","Perennial",0.276642744824588,3
"Apocynum cannabinum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Campanulate","actinomorphic",-0.142103588365026,0.0261701096463903,-0.37133617219217,-0.637059901256991,-0.451925833756157,-0.706950281475684,0.0757967797507124,"herb","Perennial",-0.217932587001883,3
"Aquilegia canadensis","Hermaphrodite","self_compatible","none",1.09202000297723,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.39140354214677,0.417235621807306,0.592077766693183,0.611906813208306,-0.0540424423208374,"herb","Perennial",-0.422828081615706,3
"Arabis alpina","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","actinomorphic",-0.231786032475534,-0.131227343468773,-0.0368800062821798,-0.314914046987345,-0.196724953646318,-0.684969329897618,-0.126030664300336,"herb","Perennial",-0.514677786097765,1
"Aralia cordata","Hermaphrodite","self_compatible","low",-0.15213901148275,"Open","actinomorphic",0.394848624780686,2.7382493017846,-0.705792338102161,-0.661464890216813,-0.57372625380858,-0.597045523585352,-0.124480530321449,"herb","Perennial",-0.316847653367177,2
"Aralia elata","Monoecious","monoecious","none",-0.686510399273575,"Open","actinomorphic",1.48017756624542,4.67544872474046,-0.705792338102161,-0.685869879176635,-0.57372625380858,-0.597045523585352,-0.124480530321449,"tree","Perennial",0.841871695483412,4
"Arctium lappa","Hermaphrodite","self_compatible","medium",1.18600339339457,"Capitulum","actinomorphic",-0.222075194578218,-0.160285334813111,-0.293296400146506,0.631999524653737,0.280496825479077,1.48015440054193,-0.102778654617035,"herb","Short lived",-0.119017520636588,1
"Arctium minus","Hermaphrodite","self_compatible","medium",1.18600339339457,"Capitulum","actinomorphic",-0.230643580958202,-0.148177838419637,0.409061548264474,2.1695138291225,1.68828154716499,0.93063061109027,-0.108979190532582,"herb","Short lived",-0.288586205834236,1
"Arctotheca calendula","Hermaphrodite","self_compatible","low",0.0202108626442395,"Capitulum","actinomorphic",-0.231214806716868,-0.165128333370501,-0.0926227006005116,1.07128932593053,-0.393925633731194,-0.662988378319551,-0.0903775827859416,"herb","Short lived",-0.528808509864236,5
