Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
1_3_bartomeus_spain_2008_medca_1_2,1,2,1,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,1,2,2,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,1,2,3,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,1,2,4,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,1,2,5,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,6,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,7,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,8,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,9,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,10,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,11,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,1,2,12,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,13,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,14,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,15,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,1,2,16,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,2,3,1,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,1,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,2,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,2,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,3,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,3,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,4,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,4,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,5,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,5,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,6,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,6,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,2,3,7,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,7,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,8,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,8,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,9,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,9,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,10,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,10,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,11,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,11,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,12,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,12,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,13,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,13,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,14,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,14,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,15,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,15,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,16,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,16,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,17,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,17,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,18,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,18,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,2,3,19,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,2,3,19,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,1,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,1,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,2,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,2,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,3,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,3,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,4,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,4,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,5,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,5,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,6,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,6,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,7,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,7,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,8,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,8,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,9,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,9,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,10,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,10,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,11,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,11,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,12,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,12,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,13,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,13,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,14,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,14,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,15,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,15,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,16,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,16,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,17,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,17,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,18,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,18,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,19,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,19,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,20,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,20,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,21,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,21,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,22,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,22,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,23,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,23,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,24,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,24,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,3,3,25,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,3,3,25,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,26,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,3,3,26,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,1,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,1,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,1,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,2,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,2,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,2,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,3,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,3,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,3,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,4,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,4,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,4,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,5,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,5,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,5,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,6,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,6,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,6,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,7,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,7,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,7,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,8,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,8,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,8,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,9,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,9,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,9,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,10,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,10,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,10,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,11,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,11,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,11,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,12,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,12,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,12,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,13,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,13,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,13,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,14,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,14,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,14,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,15,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,15,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,15,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,16,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,16,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,16,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,17,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,17,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,17,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,18,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,18,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,18,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,19,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,19,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,19,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,20,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,20,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,20,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,4,4,21,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,21,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,21,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,22,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,4,4,22,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,4,4,22,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,1,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,1,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,1,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,2,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,2,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,2,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,3,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,3,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,3,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,4,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,4,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,4,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,5,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,5,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,5,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,6,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,6,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,6,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,7,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,7,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,7,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,8,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,8,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,8,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,9,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,9,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,9,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,10,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,10,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,5,4,10,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,11,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,11,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,11,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,12,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,12,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,12,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,13,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,13,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,13,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,14,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,14,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,14,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,15,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,15,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,15,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,16,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,16,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,16,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,17,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,17,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,17,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,18,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,18,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,18,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,19,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,19,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,19,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,20,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,20,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,20,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,21,3,Non-bee-Hymenoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,21,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,21,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,22,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,22,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,22,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,23,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,23,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,23,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,24,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,24,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,24,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,25,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,25,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,25,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,26,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,26,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,26,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,27,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,27,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,27,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,28,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,28,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,28,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,29,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,29,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,29,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,30,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,30,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,30,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,31,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,31,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,31,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,5,4,32,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,32,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,5,4,32,5,Lepidoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,1,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,1,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,1,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,6,4,1,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,6,4,2,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,2,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,2,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,2,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,3,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,3,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,3,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,3,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,4,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,4,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,4,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,4,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,5,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,5,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,5,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,5,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,6,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,6,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,6,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,6,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,7,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,7,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,7,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,7,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,8,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,8,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,8,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,8,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,9,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,9,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,9,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,9,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,10,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,10,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,10,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,10,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,11,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,11,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,11,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,11,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,12,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,12,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,12,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,12,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,13,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,13,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,6,4,13,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,13,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,14,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,14,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,14,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,14,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,15,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,15,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,15,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,15,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,16,1,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,16,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,16,1,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,16,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,17,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,17,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,17,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,17,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,18,2,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,18,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,18,2,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,18,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,19,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,19,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,19,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,19,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,20,3,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,20,5,Coleoptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,20,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,6,4,20,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,6,4,21,3,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,21,5,Non-syrphids-diptera
1_3_bartomeus_spain_2008_medca_1_2,6,4,21,3,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,6,4,21,5,Syrphids
1_3_bartomeus_spain_2008_medca_1_2,7,4,1,2,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,1,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,1,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,2,1,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,2,3,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,2,5,Bee
1_3_bartomeus_spain_2008_medca_1_2,7,4,3,1,Bee
