Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_functional_groups,Pollinator_functional_group
8_2_olesen_2002_mauritius,1,2,1,5,Bee
8_2_olesen_2002_mauritius,1,2,2,1,Bee
8_2_olesen_2002_mauritius,1,2,3,2,Bee
8_2_olesen_2002_mauritius,1,2,4,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,1,2,5,1,Lizards
8_2_olesen_2002_mauritius,1,2,6,1,Lepidoptera
8_2_olesen_2002_mauritius,1,2,7,2,Lepidoptera
8_2_olesen_2002_mauritius,1,2,8,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,1,2,9,2,Lizards
8_2_olesen_2002_mauritius,1,2,10,2,Coleoptera
8_2_olesen_2002_mauritius,1,2,11,2,Syrphids
8_2_olesen_2002_mauritius,1,2,12,5,Lizards
8_2_olesen_2002_mauritius,2,3,1,2,Bee
8_2_olesen_2002_mauritius,2,3,1,5,Bee
8_2_olesen_2002_mauritius,2,3,2,1,Bee
8_2_olesen_2002_mauritius,2,3,2,5,Bee
8_2_olesen_2002_mauritius,2,3,3,1,Bee
8_2_olesen_2002_mauritius,2,3,3,2,Bee
8_2_olesen_2002_mauritius,2,3,4,1,Lepidoptera
8_2_olesen_2002_mauritius,2,3,4,2,Lepidoptera
8_2_olesen_2002_mauritius,2,3,5,1,Lizards
8_2_olesen_2002_mauritius,2,3,5,2,Lizards
8_2_olesen_2002_mauritius,2,3,6,1,Lizards
8_2_olesen_2002_mauritius,2,3,6,5,Lizards
8_2_olesen_2002_mauritius,2,3,7,2,Lizards
8_2_olesen_2002_mauritius,2,3,7,5,Lizards
8_2_olesen_2002_mauritius,2,3,8,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,2,3,8,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,1,1,Lepidoptera
8_2_olesen_2002_mauritius,3,3,1,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,2,1,Bee
8_2_olesen_2002_mauritius,3,3,2,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,3,1,Lizards
8_2_olesen_2002_mauritius,3,3,3,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,4,1,Lepidoptera
8_2_olesen_2002_mauritius,3,3,4,1,Lizards
8_2_olesen_2002_mauritius,3,3,5,1,Bee
8_2_olesen_2002_mauritius,3,3,5,1,Lizards
8_2_olesen_2002_mauritius,3,3,6,1,Bee
8_2_olesen_2002_mauritius,3,3,6,1,Lepidoptera
8_2_olesen_2002_mauritius,3,3,7,2,Lepidoptera
8_2_olesen_2002_mauritius,3,3,7,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,8,2,Bee
8_2_olesen_2002_mauritius,3,3,8,2,Lepidoptera
8_2_olesen_2002_mauritius,3,3,9,2,Lepidoptera
8_2_olesen_2002_mauritius,3,3,9,2,Lizards
8_2_olesen_2002_mauritius,3,3,10,2,Lepidoptera
8_2_olesen_2002_mauritius,3,3,10,2,Syrphids
8_2_olesen_2002_mauritius,3,3,11,2,Coleoptera
8_2_olesen_2002_mauritius,3,3,11,2,Lepidoptera
8_2_olesen_2002_mauritius,3,3,12,2,Coleoptera
8_2_olesen_2002_mauritius,3,3,12,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,13,2,Bee
8_2_olesen_2002_mauritius,3,3,13,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,14,2,Lizards
8_2_olesen_2002_mauritius,3,3,14,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,15,2,Non-syrphids-diptera
8_2_olesen_2002_mauritius,3,3,15,2,Syrphids
8_2_olesen_2002_mauritius,3,3,16,2,Lizards
8_2_olesen_2002_mauritius,3,3,16,2,Syrphids
8_2_olesen_2002_mauritius,3,3,17,2,Coleoptera
8_2_olesen_2002_mauritius,3,3,17,2,Lizards
8_2_olesen_2002_mauritius,3,3,18,2,Bee
8_2_olesen_2002_mauritius,3,3,18,2,Lizards
8_2_olesen_2002_mauritius,3,3,19,2,Bee
8_2_olesen_2002_mauritius,3,3,19,2,Syrphids
8_2_olesen_2002_mauritius,3,3,20,2,Bee
8_2_olesen_2002_mauritius,3,3,20,2,Coleoptera
8_2_olesen_2002_mauritius,3,3,21,2,Coleoptera
8_2_olesen_2002_mauritius,3,3,21,2,Syrphids
8_2_olesen_2002_mauritius,3,3,22,5,Bee
8_2_olesen_2002_mauritius,3,3,22,5,Lizards
8_2_olesen_2002_mauritius,4,4,1,1,Bee
8_2_olesen_2002_mauritius,4,4,1,1,Lepidoptera
8_2_olesen_2002_mauritius,4,4,1,1,Non-syrphids-diptera
8_2_olesen_2002_mauritius,4,4,2,1,Lepidoptera
