Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,1,Echium plantagineum,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,2,Andryala integrifolia,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,3,Andryala integrifolia,Panurgus banksianus
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,4,Tuberaria guttata,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,5,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,6,Rosmarinus officinalis,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,7,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,8,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,9,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,10,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,11,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,12,Rosmarinus officinalis,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,13,Ulex parviflorus,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,14,Lavandula pedunculata,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,15,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,16,Rosmarinus officinalis,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,17,Echium plantagineum,Lasioglossum albocinctum
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,18,Rosmarinus officinalis,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,19,Halimium commutatum,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,20,Halimium commutatum,Lasioglossum sp.
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,21,Leontodon saxatilis,Dasypoda cingulata
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,22,Rosmarinus officinalis,Bombus terrestris
12_8_bartomeus_spain_2008_LaCunya_unp,1,2,23,Rosmarinus officinalis,Anthophora dispar
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,1,Andryala integrifolia,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,1,Echium plantagineum,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,2,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,2,Tuberaria guttata,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,3,Rosmarinus officinalis,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,3,Tuberaria guttata,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,4,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,4,Rosmarinus officinalis,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,5,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,5,Ulex parviflorus,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,6,Rosmarinus officinalis,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,6,Ulex parviflorus,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,7,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,7,Ulex parviflorus,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,8,Lavandula pedunculata,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,8,Ulex parviflorus,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,9,Lavandula pedunculata,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,9,Rosmarinus officinalis,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,10,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,10,Rosmarinus officinalis,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,11,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,11,Rosmarinus officinalis,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,12,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,12,Lavandula pedunculata,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,13,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,13,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,14,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,14,Lavandula pedunculata,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,15,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,15,Rosmarinus officinalis,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,16,Halimium commutatum,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,2,3,16,Rosmarinus officinalis,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,1,Andryala integrifolia,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,1,Andryala integrifolia,Panurgus banksianus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,2,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,2,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,3,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,3,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,4,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,4,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,5,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,5,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,6,Cistus salviifolius,Lasioglossum malachurum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,6,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,7,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,7,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,8,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,8,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,9,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,9,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,10,Cistus salviifolius,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,10,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,11,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,11,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,12,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,12,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,13,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,13,Cistus salviifolius,Pseudoanthidium melanorum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,14,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,14,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,15,Cistus salviifolius,Heliotaurus ruficollis
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,15,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,16,Cistus salviifolius,Lasioglossum imminutus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,16,Cistus salviifolius,Ceratina cucurbitina
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,17,Echium plantagineum,Lasioglossum tridivisus
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,17,Echium plantagineum,Lasioglossum albocinctum
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,18,Halimium commutatum,Apis mellifera
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,18,Halimium commutatum,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,19,Halimium commutatum,Pieris brassicae
12_8_bartomeus_spain_2008_LaCunya_unp,3,3,19,Halimium commutatum,Lasioglossum sp.
